pair,Date,base,fore,spot,ret_1m,rate_base,rate_fore,carry_nom_1m,carry_real_1m,policy_bias,CarryScore,cpi_yoy_base,cpi_yoy_fore,dSpot_12m,dPPP_12m,Value_PPP,ValueScore,mom_3m,ma_fast,ma_slow,ma_signal,rsi_14,rsi_signal,z_bb,MomentumScore,gdp_yoy_base,gdp_yoy_fore,gdp_yoy_diff,cpi_yoy_diff,MacroScore,hedge_cost_1m,HedgeCostScore,FX_Score,FX_Score_next,HedgeRatio
EURGBP,2024-12-31,EUR,GBP,0.82746,-0.0037755239203510482,0.032712538378560474,,,,,,0.025563909774436233,-0.375,-0.04657439744962741,-0.40056390977443623,-0.3539895123248088,-0.5666497603551071,-0.0060724541402976395,0.8339233333333333,0.8444799999999999,-1.0,23.45939243645377,-0.5308121512709246,-1.9895650567501648,-0.7306273218095389,0.06407137693891185,-1.6666666666666667,-1.7307380436055786,-0.40056390977443623,-0.6769901590250242,,,-0.5759645440162636,-0.6315253411344645,1.0
EURGBP,2025-01-31,EUR,GBP,0.83604,0.010315691115726583,0.0301956736549851,,,,,,0.02562170308967593,-0.25,-0.019614045501082117,-0.27562170308967593,-0.2560076575885938,-0.5273915164947094,-0.009144227169042451,0.8313633333333333,0.8431000000000001,-1.0,33.75890007365575,-0.324821998526885,-1.153539102936998,-0.5623740936531653,0.03810696314815876,-1.6666666666666667,-1.7047736298148255,-0.27562170308967593,-0.6530765441630059,,,-0.6460008817433424,-0.5759645440162636,1.0
EURGBP,2025-02-28,EUR,GBP,0.82494,-0.013365802412830474,0.025319865436653544,,,,,,0.023220973782771548,-0.17647058823529416,-0.03683120679421467,-0.1996915620180657,-0.16286035522385103,-0.48793556048471354,-0.0068256352174549395,0.8294799999999999,0.8405208333333333,-1.0,26.193987521270614,-0.4761202495745877,-1.7612722498733844,-0.7685920445684674,0.03810696314815876,-1.6666666666666667,-1.7047736298148255,-0.1996915620180657,-0.6391187492424656,,,-0.618600201131282,-0.6460008817433424,1.0
EURGBP,2025-03-31,EUR,GBP,0.83721,0.014764278660473362,0.025981992595520254,,,,,,0.029962546816479474,-0.1875,-0.020862777761733065,-0.21746254681647947,-0.1965997690547464,-0.5010212506284759,0.011714167363369471,0.8327300000000001,0.83905,-1.0,41.06375566136338,-0.17872488677273238,-0.7728287272889665,0.5075948202944236,0.04003320895757945,-0.1250000000000001,-0.16503320895757956,-0.21746254681647947,-0.42158793654098786,,,-0.43179353634653644,-0.618600201131282,1.0
EURGBP,2025-04-30,EUR,GBP,0.85001,0.015173179043370177,0.02360308619242435,,,,,,0.022172949002217335,0.5217391304347827,-0.004448860202820759,0.49956618143256537,0.5040150416353861,-0.22235036238737949,0.016571655291013065,0.8373866666666667,0.8387341666666667,-1.0,46.925329428989755,-0.061493411420204896,0.19300566130630417,1.1126460174446375,0.026729692046972175,-0.1250000000000001,-0.1517296920469723,0.49956618143256537,-0.33747626771092454,,,-0.1536625836444363,-0.43179353634653644,0.5
EURGBP,2025-05-31,EUR,GBP,0.84316,-0.008091375789346988,0.021703755137668423,,,,,,0.019911504424778848,0.7,-0.009831017720878271,0.6800884955752211,0.6899195132960994,-0.1563652624771284,0.02184608191449655,0.84346,0.83804,1.0,44.23304416403789,-0.11533911671924216,-0.2427683629853498,1.8661042562669472,0.026729692046972175,-0.1250000000000001,-0.1517296920469723,0.6800884955752211,-0.3344192583769262,,,0.2500664283250923,-0.1536625836444363,0.5
EURGBP,2025-06-30,EUR,GBP,0.85829,0.017785299386707115,0.020884926604615828,,,,,,0.022123893805309658,0.8,0.012922621726435574,0.7778761061946904,0.7649534844682548,-0.13669603017940263,0.024867102640730304,0.8504866666666667,0.8389583333333333,1.0,51.94355467059129,0.0388710934118258,1.0774078127250142,2.494852680635707,0.0510018180877605,-0.5,-0.5510018180877605,0.7778761061946904,-0.4037158875208482,,,0.5529262116843795,0.2500664283250923,0.5
EURGBP,2025-07-31,EUR,GBP,0.86426,0.006931611742455629,0.019881182373891804,,,,,,0.01986754966887405,0.7272727272727271,0.025986752569638644,0.707405177603853,0.6814184250342143,-0.18096825536552338,0.016625535339815756,0.8552366666666668,0.8408058333333335,1.0,55.357892086934655,0.1071578417386931,1.5599783995673657,2.1533654017567256,0.04496428401013053,-0.5,-0.5449642840101305,0.707405177603853,-0.44169553170836345,,,0.6836403056504669,0.5529262116843795,0.0
EURGBP,2025-08-31,EUR,GBP,0.86554,0.0014799401475588947,0.018613859699680546,,,,,,0.01986754966887405,0.7272727272727271,0.028179459589460082,0.707405177603853,0.6792257180143929,-0.19057446732819486,0.02619685127672164,0.8626966666666668,0.8428100000000001,1.0,57.85941667383636,0.15718833347672714,1.6913351460527861,2.6190157879355485,0.04496428401013053,-0.5,-0.5449642840101305,0.707405177603853,-0.4715435287866366,,,0.7652336088006858,0.6836403056504669,0.0
EURGBP,2025-09-30,EUR,GBP,0.87279,0.008341387466257372,0.01604194000137671,,,,,,0.01986754966887405,1.2352941176470589,0.04726175522007403,1.2154265679781848,1.1681648127581108,-0.002742039253357535,0.016752939356271895,0.86753,0.8461675,1.0,62.9754860524091,0.25950972104818204,1.9842600873637477,2.1102810080740855,0.03287094120594358,-0.5,-0.5328709412059436,1.2154265679781848,-0.42112846617102323,,,0.7317637076691882,0.7652336088006858,0.0
