pair,Date,base,fore,spot,ret_1m,rate_base,rate_fore,carry_nom_1m,carry_real_1m,policy_bias,CarryScore,cpi_yoy_base,cpi_yoy_fore,dSpot_12m,dPPP_12m,Value_PPP,ValueScore,mom_3m,ma_fast,ma_slow,ma_signal,rsi_14,rsi_signal,z_bb,MomentumScore,gdp_yoy_base,gdp_yoy_fore,gdp_yoy_diff,cpi_yoy_diff,MacroScore,hedge_cost_1m,HedgeCostScore,FX_Score,FX_Score_next,HedgeRatio
EURUSD,2010-06-30,EUR,USD,1.2238,-0.005541083277949721,0.0034898230917361772,0.34844,0.34495017690826385,0.34858710161777323,0.3463501751555305,-1.3313868322140037,0.014170040485830038,0.010533115776320656,-0.1368658337286499,-0.0036369247095093815,0.13322890901914053,1.549376836475028,-0.09888428693175871,1.2612666666666665,1.3843166666666666,-1.0,39.64941569282137,-0.20701168614357257,-1.7254076948504835,-1.6373888292646643,0.009661654538244857,0.0416480080994408,0.031986353561195946,-0.0036369247095093815,0.576116077729137,-0.34495017690826385,-1.3317647198749012,-0.4267170045443522,-0.5199268160496519,1.0
EURUSD,2010-07-31,EUR,USD,1.3052,0.06439551369072538,0.004787255360474418,0.305,0.3002127446395256,0.3094809179769154,0.3225814607738947,-1.30817874350777,0.021406727828746197,0.012138554491356368,-0.08830663544074974,-0.009268173337389829,0.07903846210335991,0.9296521710713845,-0.01837142688831589,1.2531999999999999,1.374275,-1.0,38.17870884993585,-0.23642582300128295,-0.7678354769469544,-0.8005918299295908,0.009661654538244857,0.0416480080994408,0.031986353561195946,-0.009268173337389829,0.4914368780435059,-0.3002127446395256,-1.3103841214874963,-0.3546995067686223,-0.4267170045443522,0.5
EURUSD,2010-08-31,EUR,USD,1.268,-0.028915429721994262,0.004481142918930203,0.25781,0.2533288570810698,0.258108051579662,0.2767708008602977,-1.2890684988558738,0.016260162601625883,0.011480968103033673,-0.12260838856264758,-0.00477919449859221,0.11782919406405537,1.3132609333591843,0.029939000690781398,1.2656666666666665,1.3604916666666667,-1.0,36.263959390862944,-0.27472081218274114,-1.1171233937756402,-0.19271768480811782,0.009661654538244857,0.0416480080994408,0.031986353561195946,-0.00477919449859221,0.5348200539664139,-0.2533288570810698,-1.2896183345007184,-0.2815271285146861,-0.3546995067686223,0.5
EURUSD,2010-09-30,EUR,USD,1.3634,0.07254072393151359,0.00443178954626422,0.25625,0.25181821045373576,0.25865487721851543,0.25257353376740277,-1.2463342509014217,0.018274111675126825,0.01143744491034715,-0.071190835592572,-0.006836666764779675,0.06435416882779232,0.7250873697041548,0.10802080790024471,1.3122,1.3521083333333335,-1.0,44.49160035366932,-0.11016799292661361,-0.008971161865360296,0.8408231061878759,0.01590150597168627,0.04794350842418238,0.03204200245249611,-0.006836666764779675,0.4980623578743419,-0.25181821045373576,-1.2475097352532813,-0.13770672752051777,-0.2815271285146861,0.5
EURUSD,2010-10-31,EUR,USD,1.3947,0.022697758435963944,0.006718144715208929,0.25375,0.24703185528479105,0.2538685220495707,0.24942503286926343,-1.2072455492244007,0.018274111675126825,0.01143744491034715,-0.05387474483389221,-0.006836666764779675,0.04703807806911253,0.5447441470014156,0.06632305264548327,1.3420333333333332,1.345675,-1.0,46.715328467153284,-0.06569343065693431,0.3136012416291461,0.6096317576429564,0.01590150597168627,0.04794350842418238,0.03204200245249611,-0.006836666764779675,0.4931422866888741,-0.24703185528479105,-1.2083287263310458,-0.04036554743420537,-0.13770672752051777,0.5
EURUSD,2010-11-30,EUR,USD,1.2983,-0.07162362199844102,0.00626157877171174,0.26063,0.25436842122828823,0.2621677333388655,0.25070013825653964,-1.1634319074964763,0.019230769230769384,0.011431457120192112,-0.144742669514214,-0.007799312110577272,0.13694335740363672,1.4819620285877368,0.02361486036903651,1.3521333333333334,1.328825,1.0,37.349213620400064,-0.2530157275919987,-0.9064558584013019,0.1722705024990053,0.01590150597168627,0.04794350842418238,0.03204200245249611,-0.007799312110577272,0.4760228026786905,-0.25436842122828823,-1.1647656461373033,0.015800169104778397,-0.04036554743420537,0.5
EURUSD,2010-12-31,EUR,USD,1.3384,0.03041915430640646,0.005066032519799535,0.26063,0.25556396748020044,0.2628072860709863,0.25496619435424434,-1.124450162800471,0.022199798183652808,0.014956479592866945,-0.06766702781204259,-0.007243318590785863,0.06042370922125673,0.6901817590088398,-0.01850670925607062,1.3437999999999999,1.3210166666666667,1.0,40.28525687672828,-0.19429486246543434,-0.40553955374675416,-0.3832607409774361,-0.022253442064037676,0.0449258595682962,0.06717930163233388,-0.007243318590785863,0.9112395383764781,-0.25556396748020044,-1.1255482907921794,-0.05423437120138443,0.015800169104778397,0.5
EURUSD,2011-01-31,EUR,USD,1.3694,0.022897817014348287,0.0068959037409372925,0.26,0.2531040962590627,0.24844913946727143,0.25433403186963155,-1.0922083453852933,0.015136226034308864,0.01979118282610015,-0.01226563985736795,0.004654956791791287,0.016920596649159236,0.2626741354314904,-0.018306650677686276,1.3353666666666666,1.3196083333333333,1.0,40.49311094996374,-0.19013778100072515,0.023041788932355183,-0.3359828351371173,-0.022253442064037676,0.0449258595682962,0.06717930163233388,0.004654956791791287,1.0440181902256507,-0.2531040962590627,-1.0894879603469207,-0.11544983386764907,-0.05423437120138443,0.5
EURUSD,2011-02-28,EUR,USD,1.3806,0.00814549958241273,0.006329602149639513,0.261,0.2546703978503605,0.26080646323926404,0.2538872470547116,-1.052096617034889,0.02746693794506605,0.021330872556162506,0.012756669692577882,-0.006136065388903544,-0.018892735081481427,-0.1022912232637542,0.061462470903167477,1.3628,1.3210666666666666,1.0,45.927566028783815,-0.0814486794243237,0.18409090898055588,0.9352207968821811,-0.022253442064037676,0.0449258595682962,0.06717930163233388,-0.006136065388903544,0.9000910772972758,-0.2546703978503605,-1.0528839243975452,-0.14968100166262188,-0.11544983386764907,0.5
EURUSD,2011-03-31,EUR,USD,1.4158,0.02517655507071359,0.0067004736797446895,0.24345,0.2367495263202553,0.2370145588883142,0.24570996208530793,-1.0274494217922217,0.027081243731193583,0.026816211163134707,0.046849683379889984,-0.0002650325680588761,-0.04711471594794886,-0.38319401302354883,0.05621987166747461,1.3886,1.3264666666666665,1.0,52.3725269422551,0.04745053884510199,0.6529622455829294,0.9445504304755725,-0.032601144434756035,0.039746393572197336,0.07234753800695337,-0.0002650325680588761,1.0266953025064578,-0.2367495263202553,-1.0263397809504566,-0.11131491809232634,-0.14968100166262188,0.5
EURUSD,2011-04-30,EUR,USD,1.4807,0.0448202065745843,0.00954631389102456,0.21025,0.20070368610897543,0.19864537656017073,0.21872660621461537,-1.0107239027495463,0.022977022977023198,0.025035332525827902,0.10778723630719172,0.0020583095488047043,-0.10572892675838702,-0.9981974962066049,0.07814226122771062,1.4257,1.339075,1.0,58.86343081097377,0.17726861621947534,1.4192516894045233,1.4175056884030677,-0.032601144434756035,0.039746393572197336,0.07234753800695337,0.0020583095488047043,1.0545201784215466,-0.20070368610897543,-1.0088756602478042,-0.06026096413440792,-0.11131491809232634,0.5
EURUSD,2011-05-31,EUR,USD,1.4396,-0.028149651709797496,0.011048917914521894,0.19043,0.1793810820854781,0.17163924936273378,0.19004238409722676,-0.9892701926074664,0.027944111776447178,0.03568594449919149,0.15686344189848578,0.007741832722744313,-0.14912160917574147,-1.2113081110298776,0.04184710993550039,1.4453666666666667,1.3564916666666667,1.0,56.39803581744657,0.12796071634893139,0.9316163470211856,0.7186913617710387,-0.032601144434756035,0.039746393572197336,0.07234753800695337,0.007741832722744313,1.1222642950265804,-0.1793810820854781,-0.9856546995771279,-0.1521379872914157,-0.06026096413440792,0.5
EURUSD,2011-06-30,EUR,USD,1.4502,0.0073361807326166595,0.011335495785973926,0.18555,0.17421450421402607,0.1655728430743536,0.17679779314975208,-0.9598821567502931,0.026946107784431073,0.035587768924103536,0.16974070590905216,0.008641661139672463,-0.1610990447693797,-1.1782779470996634,0.02400673559740346,1.4568333333333332,1.3753583333333335,1.0,58.86410331670092,0.17728206633401838,1.1016733443305318,0.5331229789518637,0.015133605627032365,0.03854089968151264,0.023407294054480277,0.008641661139672463,0.5351127889799343,-0.17421450421402607,-0.9560751948984507,-0.2692869701458329,-0.1521379872914157,0.5
EURUSD,2011-07-31,EUR,USD,1.4398,-0.0071972629022897805,0.009723121670119461,0.1911,0.18137687832988053,0.17273521719020807,0.1777956912719533,-0.926016879353813,0.026946107784431073,0.035587768924103536,0.098147929316037,0.008641661139672463,-0.08950626817636453,-0.7402771659512315,-0.028010733879470617,1.4432,1.386575,1.0,67.63912310286679,0.3527824620573358,1.0689712528404498,-0.1151941908525935,0.015133605627032365,0.03854089968151264,0.023407294054480277,0.008641661139672463,0.5494571639800399,-0.18137687832988053,-0.922308373584824,-0.3908272551128551,-0.2692869701458329,0.5
